stockkey,activefeatures,lookbackwindow,forecasthorizon
1,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
2,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
3,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
4,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
5,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
6,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
7,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
8,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
9,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
10,"{Returns,Volatility,Volume_MA7,RSI,MACD,Stock_Rate_Corr,USD_Change,VIX_Change,TNX_Change}",60,14
11,"{Returns,Volatility,Volume_MA7,RSI,MACD,Stock_Rate_Corr,USD_Change,VIX_Change,TNX_Change}",60,14
12,"{Returns,Volatility,Volume_MA7,RSI,MACD,Stock_Rate_Corr,USD_Change,VIX_Change,TNX_Change}",60,14
13,"{Returns,Volatility,Volume_MA7,RSI,MACD,Stock_Rate_Corr,USD_Change,VIX_Change,TNX_Change}",60,14
14,"{Returns,Volatility,Volume_MA7,RSI,MACD,Stock_Rate_Corr,USD_Change,VIX_Change,TNX_Change}",60,14
15,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
16,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
17,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
18,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
19,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
20,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
21,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
22,"{Returns,Volatility,Volume_MA7,RSI,MACD,Oil_Change,Stock_Oil_Corr,Vol_x_Oil,USD_Change,VIX_Change}",60,14
